,identifier,titleEn,scopeEn
467,03.100.20,Trade. Commercial function. Marketing,
468,03.100.30,Management of human resources,"Including staff training, staff responsibilities, staff qualifications and certification"
469,03.100.40,Research and development,"Including project management, value analysis, etc."
470,03.100.50,Production. Production management,
471,03.100.60,Accountancy,
472,03.100.70,Management systems,"Including environmental management systems (EMS), road traffic management systems, energy management systems, health care management systems, etc."
473,03.100.99,Other standards related to company organization and management,
474,03.120.01,Quality in general,Including general aspects related to reliability and maintainability
475,03.120.10,Quality management and quality assurance,
476,03.120.20,Product and company certification. Conformity assessment,Including laboratory accreditation and audit programmes and auditing
477,03.120.30,Application of statistical methods,
478,03.120.99,Other standards related to quality,
479,03.200.01,Leisure and tourism in general,"Including outdoor events management, tourist information offices, tourism services, hotels, etc."
480,03.200.10,Adventure tourism,
481,03.200.99,Other standards relating to leisure and tourism,Including recreational diving services
482,03.220.01,Transport in general,
483,03.220.20,Road transport,Including road transport services
484,03.220.30,Transport by rail,Including rail transport services
485,03.220.40,Transport by water,Including water transport services
486,03.220.50,Air transport,Including air transport services
487,03.220.99,Other forms of transport,
488,07.100.01,Microbiology in general,
489,07.100.10,Medical microbiology,
490,07.100.20,Microbiology of water,
491,07.100.30,Food microbiology,Including microbiology of animal feeding stuffs
492,07.100.40,Cosmetics microbiology,
493,07.100.99,Other standards related to microbiology,
494,11.020.01,Quality and environmental management in health care,Including quality and environmental management in health care technology
495,11.020.10,Health care services in general,"Including care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc."
496,11.020.20,Medical science,"Including regenerative medicine, cell therapy, stratified medicine"
497,11.020.99,Other standards related to health care in general,
498,11.040.01,Medical equipment in general,
499,11.040.10,"Anaesthetic, respiratory and reanimation equipment",Including medical gas installations
500,11.040.20,"Transfusion, infusion and injection equipment",Including blood packs and containers for transfusion
501,11.040.25,"Syringes, needles and catheters",
502,11.040.30,Surgical instruments and materials,"Including surgical dressings, sutures, etc."
503,11.040.40,"Implants for surgery, prosthetics and orthotics",Including pacemakers
504,11.040.50,Radiographic equipment,Including radiographic diagnostic and therapy equipment
505,11.040.55,Diagnostic equipment,"Including medical monitoring equipment, medical thermometers and related materials"
506,11.040.60,Therapy equipment,
507,11.040.70,Ophthalmic equipment,"Including ophthalmic implants, glasses, contact lenses and their cleaning products"
508,11.040.99,Other medical equipment,
509,11.060.01,Dentistry in general,
510,11.060.10,Dental materials,
511,11.060.15,Dental implants,Including dentures
512,11.060.20,Dental equipment,
513,11.060.25,Dental instruments,
514,11.080.01,Sterilization and disinfection in general,"Including sterilization methods, air quality of surgery rooms, etc."
515,11.080.10,Sterilizing equipment,
516,11.080.20,Disinfectants and antiseptics,Including indicators
517,11.080.30,Sterilized packaging,
518,11.080.99,Other standards related to sterilization and disinfection,
519,11.100.01,Laboratory medicine in general,
520,11.100.10,In vitro diagnostic test systems,
521,11.100.20,Biological evaluation of medical devices,
522,11.100.30,Analysis of blood and urine,Including doping control
523,11.100.99,Other standards related to laboratory medicine,
524,11.120.01,Pharmaceutics in general,
525,11.120.10,Medicaments,Including medical prescriptions and medicinal herbs
526,11.120.20,Wound dressings and compresses,
527,11.120.99,Other standards related to pharmaceutics,Including equipment for pharmaceutical industry
528,11.180.01,Aids for disabled and handicapped persons in general,
529,11.180.10,Aids and adaptation for moving,"Including wheelchairs, walking sticks and lifting platforms"
530,11.180.15,Aids for deaf and hearing impaired people,
531,11.180.20,Aids for incontinence and ostomy,
532,11.180.30,Aids for blind or partially sighted people,Including Braille
533,11.180.40,Aids for drinking and eating,
534,11.180.99,Other standards related to aids for disabled and handicapped people,
535,13.020.01,Environment and environmental protection in general,
536,13.020.10,Environmental management,Including certification and audit
537,13.020.20,Environmental economics. Sustainability,"Including responsible sourcing, procurement, sustainable development, sustainable events management, sustainable communities, smart urban infrastructure, biodiversity"
538,13.020.30,Environmental impact assessment,Including environmental risk management
539,13.020.40,"Pollution, pollution control and conservation",Including ecotoxicology and greenhouse gas emissions
540,13.020.50,Ecolabelling,
541,13.020.55,Biobased products,
542,13.020.60,Product life-cycles,"Including environmental footprint, carbon neutrality"
543,13.020.70,Environmental projects,
544,13.020.99,Other standards related to environmental protection,
545,13.030.01,Wastes in general,
546,13.030.10,Solid wastes,
547,13.030.20,Liquid wastes. Sludge,
